Timme,Sol_kWh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.036
6,0.265
7,0.9791666666666666
8,2.8325
9,4.945833333333333
10,6.963333333333333
11,8.021666666666667
12,8.509166666666665
13,8.261666666666667
14,7.0975
15,5.36
16,3.6983333333333337
17,2.056666666666666
18,1.1366666666666667
19,0.2916666666666667
20,0.04
21,0.02
22,0.0
23,0.0
