datum,ar,manad,ar_manad,sol_kwh,snittpris_ore,naive_kr,opt_kr,besparing_kr,naive_imp_kwh,opt_imp_kwh
2023-07-01,2023,7,2023-07,6.679166666666665,49.588166666666666,20.094489719166663,-9.27102918912498,29.36551890829164,33.52916666666667,52.40763150000001
2023-07-02,2023,7,2023-07,47.32833333333333,14.515750000000002,1.283846164166667,-5.675818923748772,6.95966508791544,22.555,31.17916656
2023-07-03,2023,7,2023-07,40.69583333333333,45.860958333333336,3.1184021258333328,-15.125993297316299,18.244395423149633,24.128333333333334,37.021385
2023-07-04,2023,7,2023-07,33.2375,68.24391666666666,9.49768178416667,-18.01567299856874,27.51335478273541,23.243333333333332,31.935964900000002
2023-07-05,2023,7,2023-07,22.696190476190477,78.22883333333333,10.6402046922619,-4.265735205827198,14.905939898089098,27.834642857142857,43.65167909
2023-07-06,2023,7,2023-07,25.28083333333333,75.37124999999999,12.179847663333337,0.6146872694580878,11.56516039387525,23.0225,24.01666667
2023-07-07,2023,7,2023-07,50.80916666666667,85.36429166666665,-9.626586269999997,-19.55099820109186,9.924411931091864,22.813333333333333,25.535
2023-07-08,2023,7,2023-07,56.1025,68.63520833333332,-4.347157726666669,-17.762489745431893,13.415332018765223,23.066666666666666,27.929166700000003
2023-07-09,2023,7,2023-07,55.83428571428571,76.27725,-6.719974958690475,-17.684992489489606,10.96501753079913,22.764880952380953,24.3423807
2023-07-10,2023,7,2023-07,13.103247863247864,98.64491666666667,29.76762288059829,1.1291239971698985,28.63849888342839,30.470277777777778,48.8733333
2023-07-11,2023,7,2023-07,41.67261904761905,110.13258333333334,3.9541154160714207,-33.893841064214584,37.847956480286,23.93154761904762,35.00870298
2023-07-12,2023,7,2023-07,14.131666666666666,86.15808333333332,17.932055068333334,-14.645161726778909,32.57721679511224,31.876666666666665,44.355833327
2023-07-13,2023,7,2023-07,52.0525,78.07225,-4.986201959166667,-13.91180414492597,8.925602185759303,22.4025,20.24749997
2023-07-14,2023,7,2023-07,53.22116666666666,59.740916666666664,-6.627218530833332,-12.562713994125023,5.935495463291691,22.731333333333332,23.27966667
2023-07-15,2023,7,2023-07,24.525,31.853499999999997,9.032392239166667,-2.8569298607780613,11.889322099944728,25.003333333333334,37.5801316
2023-07-17,2023,7,2023-07,45.519999999999996,16.348541666666666,1.1392611625000013,-4.144393162438788,5.283654324938789,23.919166666666666,24.46679825
2023-07-18,2023,7,2023-07,37.9025,44.51554166666667,2.5485392608333335,-19.67192852999866,22.220467790831993,24.32416666666667,24.564517546999998
2023-07-19,2023,7,2023-07,48.05416666666667,45.226875,-2.4865252066666663,-10.654685640218599,8.168160433551932,22.905833333333334,24.24583333
2023-07-20,2023,7,2023-07,36.91666666666667,42.325250000000004,1.8848042708333352,-3.201712581619801,5.086516852453136,23.49833333333333,22.98
2023-07-21,2023,7,2023-07,42.01833333333333,42.05741666666666,0.047577839166667246,-5.338546854283971,5.386124693450638,22.84,23.09916666
2023-07-22,2023,7,2023-07,48.189166666666665,37.55875,-1.7308628433333322,-5.926690309507741,4.195827466174409,23.669999999999998,26.088333
2023-07-23,2023,7,2023-07,21.6475,28.376416666666668,7.592689755833335,-3.056783234682621,10.649472990515957,29.633333333333333,34.354298249
2023-07-24,2023,7,2023-07,23.99189393939394,42.216375,7.486741069090911,1.881344073689628,5.605396995401283,25.3464393939394,24.7995455
2023-07-25,2023,7,2023-07,49.308166666666665,40.525,-2.9256917216666647,-6.7289804227656695,3.803288701099005,23.05516666666667,22.441000000000003
2023-07-26,2023,7,2023-07,50.3675,44.59808333333333,-3.183590371666668,-8.053397001803363,4.869806630136695,23.865833333333335,22.954999997
2023-07-27,2023,7,2023-07,34.104642857142856,48.85108333333333,3.6818295776190464,-1.0422295847907126,4.724059162409759,23.517857142857142,22.96285714
2023-07-28,2023,7,2023-07,55.459999999999994,49.29891666666666,-6.5352430691666665,-11.188434431295669,4.653191362129002,23.45,22.98
2023-07-29,2023,7,2023-07,27.3925,32.405625,5.6392711025,-5.605070783955609,11.24434188645561,22.972499999999997,39.7077008
2023-07-30,2023,7,2023-07,42.83333333333333,32.08145833333334,5.641734132499998,-2.7157067128874113,8.357440845387409,24.98416666666667,15.90749997
2023-07-31,2023,7,2023-07,29.174679487179485,48.890166666666666,5.76700932916667,0.7245878266911063,5.042421502475563,24.283653846153847,23.9525
2023-08-01,2023,8,2023-08,17.460833333333333,44.69758333333334,10.439549776666663,3.887113544538005,6.552436232128658,27.76583333333333,28.1041667
2023-08-02,2023,8,2023-08,46.38583333333334,84.84224999999999,0.0869461858333338,-22.198211249556742,22.285157435390076,22.85833333333333,30.06250007
2023-08-03,2023,8,2023-08,18.580333333333332,53.35579166666667,14.914676456666667,-14.646273171746165,29.560949628412832,26.128833333333333,47.457999900000004
2023-08-04,2023,8,2023-08,23.794999999999998,60.550125,8.002130050833335,-19.021396281297243,27.02352633213058,28.026666666666664,43.232500003
2023-08-05,2023,8,2023-08,30.405833333333327,26.693583333333333,2.9343727850000016,-2.2115368439607446,5.145909628960746,24.096666666666664,28.16333333
2023-08-06,2023,8,2023-08,16.173809523809524,23.025208333333335,5.049084224642857,-0.25987137658589887,5.308955601228756,30.990357142857142,35.307619030000005
2023-08-07,2023,8,2023-08,7.404027777777777,10.353958333333333,3.2049513362499997,1.3405139598112,1.8644373764387998,32.43222222222222,42.91130733999999
2023-08-09,2023,8,2023-08,12.431666666666665,12.772375000000002,5.386513635000002,-1.5277378366240306,6.914251471624032,29.635833333333334,37.35285087
2023-08-10,2023,8,2023-08,26.237499999999997,27.5705,3.7615587666666674,-1.7855571863038815,5.5471159529705485,25.65666666666667,32.98166667
2023-08-11,2023,8,2023-08,43.37833333333333,30.916791666666665,-0.6240664291666658,-5.599381128443224,4.9753146992765584,25.82916666666667,25.88666667
2023-08-12,2023,8,2023-08,8.065,23.806541666666664,8.720586780833335,2.8121525565968337,5.908434224236501,31.630833333333335,39.0660312833
2023-08-13,2023,8,2023-08,38.52416666666666,25.247666666666664,2.6045497908333335,-3.9314946392714507,6.536044430104784,23.793333333333333,34.2183333
2023-08-14,2023,8,2023-08,40.140166666666666,72.097375,8.836815852500003,-38.7432065159589,47.580022368458906,23.949833333333338,39.466499999999996
2023-08-15,2023,8,2023-08,21.49,52.505541666666666,21.136152067500003,-16.681495743062804,37.817647810562804,28.613333333333337,53.993465
2023-08-16,2023,8,2023-08,25.502499999999998,86.546875,18.14950759583333,-29.24737505594591,47.39688265177924,24.7375,35.3808333
2023-08-17,2023,8,2023-08,30.919999999999995,69.19475,27.234134672499998,-33.02469214554883,60.25882681804883,24.543333333333333,30.759999999999998
2023-08-18,2023,8,2023-08,27.965000000000003,35.581375,2.684269562499999,-2.0419151995295106,4.72618476202951,25.12,33.765
2023-08-19,2023,8,2023-08,39.528333333333336,28.373208333333334,0.881826794166666,-2.97424124604753,3.856068040214196,24.9525,32.95916663
2023-08-20,2023,8,2023-08,12.215,45.94233333333333,20.3772515025,-11.627299644521862,32.00455114702186,29.264166666666664,39.889166630000005
2023-08-21,2023,8,2023-08,33.31583333333333,65.38370833333333,6.107490067500001,-26.0231339809049,32.1306240484049,24.147499999999997,33.9525
2023-08-22,2023,8,2023-08,34.92166666666667,74.78358333333334,15.244052414999995,-35.8079986765475,51.0520510915475,24.571666666666665,35.593333369999996
2023-08-23,2023,8,2023-08,31.898333333333333,64.120125,40.183566924166655,-24.24605479840352,64.42962172257018,25.26666666666667,28.064166667000002
2023-08-24,2023,8,2023-08,37.346666666666664,135.22275,18.183849173333336,-54.3646284805638,72.54847765389714,24.483333333333334,29.08
2023-08-25,2023,8,2023-08,11.216666666666665,95.62195833333334,37.20323142833333,-15.215633920638723,52.418865348972055,30.434166666666666,43.916331910000004
2023-08-26,2023,8,2023-08,17.465,33.57725,6.9809318058333325,2.0145230590944285,4.966408746738904,31.3125,35.33333334
2023-08-27,2023,8,2023-08,46.32,52.31308333333334,24.24007450916666,-20.697406317875867,44.93748082704253,26.320833333333333,34.320884129999996
2023-08-28,2023,8,2023-08,39.38194444444444,127.82179166666667,9.561802246111107,-43.64680719420925,53.20860944032036,25.25472222222222,35.400833399999996
2023-08-29,2023,8,2023-08,29.528257575757575,121.80266666666665,18.29194401431818,-34.44121533930435,52.733159353622526,26.424242424242422,37.154373989999996
2023-08-30,2023,8,2023-08,28.06433333333333,132.18175,20.709720762499998,-20.485983346939385,41.19570410943938,26.15316666666667,31.8959649
2023-08-31,2023,8,2023-08,14.77621212121212,122.57779166666667,33.03480289924242,-0.5487987186712004,33.58360161791362,28.322954545454547,39.678086050000005
2023-09-01,2023,9,2023-09,32.144999999999996,67.59429166666666,10.924189379166666,-19.289297158912262,30.21348653807893,25.059166666666666,32.705
2023-09-02,2023,9,2023-09,38.900555555555556,38.29004166666666,8.678602786944447,-7.584319648419901,16.26292243536435,24.737777777777776,24.39777778
2023-09-03,2023,9,2023-09,19.87361111111111,49.20925,21.572514244722225,-21.633640367203107,43.20615461192533,28.145555555555553,49.944166599999996
2023-09-04,2023,9,2023-09,25.905416666666667,91.05133333333333,21.02095586916667,-38.4516935801188,59.47264944928547,25.95875,36.5945833
2023-09-05,2023,9,2023-09,49.47583333333334,56.994916666666676,12.24162366583333,-39.34541678236847,51.5870404482018,25.179166666666667,30.5083333
2023-09-06,2023,9,2023-09,36.818888888888885,107.47745833333333,29.536004265000003,-30.55572121193229,60.0917254769323,25.548611111111107,24.11
2023-09-07,2023,9,2023-09,40.052499999999995,79.20391666666667,13.651078826666673,-38.55198472450736,52.20306355117404,25.83083333333333,33.575
2023-09-08,2023,9,2023-09,43.933,106.95616666666666,10.064538724999998,-52.97964984802111,63.04418857302111,25.62366666666667,31.5
2023-09-09,2023,9,2023-09,43.1075,21.937166666666666,-1.1737579599999997,-6.797663784463992,5.623905824463993,25.4825,38.175833329999996
2023-09-10,2023,9,2023-09,20.289166666666667,22.50916666666667,7.306327038333333,-4.598020271888819,11.904347310222153,30.348333333333333,43.6991667
2023-09-11,2023,9,2023-09,33.88166666666667,93.13029166666666,29.738268395,-47.69912595728021,77.43739435228021,26.060833333333335,32.4525
2023-09-12,2023,9,2023-09,8.620833333333334,133.89675,53.878054689166675,-16.945737382008403,70.82379207117508,32.166666666666664,44.55179824300001
2023-09-13,2023,9,2023-09,21.219166666666666,131.11462500000002,27.355455191666668,-16.31233732298023,43.6677925146469,26.27916666666667,33.313464945999996
2023-09-14,2023,9,2023-09,33.78833333333333,131.130375,19.299042504166668,-41.37631204114699,60.67535454531365,27.174166666666665,25.02013158
2023-09-15,2023,9,2023-09,39.711,138.129875,16.389751355000005,-17.773266316634036,34.16301767163404,25.693166666666666,28.8108334
2023-09-16,2023,9,2023-09,13.798333333333332,118.416375,35.82816468666667,1.9784110222425397,33.84975366442413,29.738333333333333,42.53513165
2023-09-17,2023,9,2023-09,31.814166666666665,58.096000000000004,21.82770341416666,-28.470364283211797,50.29806769737846,27.704166666666666,38.53
2023-09-18,2023,9,2023-09,11.955833333333334,19.234541666666665,5.374987411666667,1.3044784477184197,4.070508963948248,29.435000000000002,31.93416667
2023-09-19,2023,9,2023-09,17.327424242424243,9.62025,2.0997020200757577,0.7122559739660015,1.3874460461097562,28.581742424242428,39.0883333
2023-09-20,2023,9,2023-09,12.282727272727271,12.769541666666667,5.061180844469697,-1.4170098051667401,6.478190649636437,28.874772727272727,42.36596491
2023-09-21,2023,9,2023-09,45.060833333333335,11.201666666666666,-0.4386137824999996,-1.9737105314318302,1.5350967489318306,26.319999999999997,28.47
2023-09-22,2023,9,2023-09,10.073333333333334,56.47804166666666,6.187642302499999,-11.04520906261418,17.23285136511418,30.92833333333333,33.78950625
2023-09-23,2023,9,2023-09,19.2525,12.950291666666667,3.413802986666667,0.38236909131644037,3.0314338953502267,32.32166666666667,37.5461842
2023-09-24,2023,9,2023-09,35.125,35.313250000000004,19.678419223333332,-20.04562775045779,39.72404697379112,26.58833333333333,29.3725
2023-09-25,2023,9,2023-09,21.915,9.411666666666667,1.5588990625000005,0.28447285833803937,1.2744262041619612,26.970000000000002,29.18
2023-09-26,2023,9,2023-09,30.754166666666663,108.49545833333333,22.66899189250001,-53.2161314122656,75.88512330476561,26.558333333333334,31.67666667
2023-09-27,2023,9,2023-09,34.54166666666667,58.062958333333334,24.137024706666672,-41.41042291330098,65.54744761996764,26.808333333333334,37.3576316
2023-09-28,2023,9,2023-09,22.447499999999998,22.909166666666664,7.531763845833335,-5.731166192275131,13.262930038108465,27.273333333333333,36.453665709999996
2023-09-29,2023,9,2023-09,11.423333333333334,13.849208333333332,4.166530476666666,1.3650696495661396,2.8014608271005264,30.564166666666672,33.94
2023-09-30,2023,9,2023-09,21.501499999999997,9.257958333333333,1.5171388266666666,0.56423066905534,0.9529081576113265,27.9035,27.060380867
2023-10-01,2023,10,2023-10,23.690555555555555,9.167375,2.5601289722222225,-0.6155460357170499,3.1756750079392724,26.758611111111115,38.26
2023-10-02,2023,10,2023-10,8.177500000000002,29.085125,6.9256723183333335,-5.4583780169192995,12.384050335252633,31.8225,33.335
2023-10-03,2023,10,2023-10,2.7974999999999994,13.345708333333334,5.237004166666667,2.384031199988731,2.8529729666779358,36.30333333333333,50.45346486300001
2023-10-04,2023,10,2023-10,19.319166666666664,10.036833333333334,2.301318108333333,0.5237703347696199,1.7775477735637133,28.235000000000003,34.563855000000004
2023-10-05,2023,10,2023-10,26.10583333333333,22.249624999999998,8.50201887916667,-9.345851399085063,17.847870278251733,27.378333333333337,32.3975
2023-10-06,2023,10,2023-10,4.5809999999999995,13.383375000000001,4.1576698325,1.2904072760311105,2.8672625564688894,34.9465,34.26052292
2023-10-07,2023,10,2023-10,12.435416666666665,6.777583333333332,2.225190903333334,0.33345864674706016,1.8917322565862738,30.98708333333333,34.01375
2023-10-08,2023,10,2023-10,40.68041666666666,10.770083333333332,1.3287270491666665,-2.5809466494435696,3.909673698610236,26.92458333333333,33.83291667
2023-10-09,2023,10,2023-10,32.06,109.347125,21.294493762499993,-40.9500330274704,62.244526789970394,27.280833333333334,31.955833329999997
2023-10-10,2023,10,2023-10,11.401666666666667,73.63308333333333,11.701009379999999,-16.49277266490931,28.19378204490931,30.906666666666666,34.148575709999996
2023-10-11,2023,10,2023-10,4.215833333333332,6.748666666666666,2.8839934125,0.5559223991654181,2.328071013334582,34.855000000000004,34.675053096999996
2023-10-13,2023,10,2023-10,1.7979166666666666,21.08616666666667,5.460188045833334,-0.8194597266658006,6.279647772499135,37.202083333333334,35.89416667
2023-10-14,2023,10,2023-10,27.325,5.827541666666666,1.2500227766666667,-0.4294371682139999,1.6794599448806666,27.436666666666667,30.49846493
2023-10-15,2023,10,2023-10,16.240333333333332,5.261708333333334,1.8055438508333337,0.06203330677148511,1.7435105440618486,29.868833333333335,37.212361470000005
2023-10-16,2023,10,2023-10,38.330666666666666,32.787666666666674,6.522353149166669,-20.44188454744734,26.96423769661401,27.265166666666666,35.7841666
2023-10-17,2023,10,2023-10,23.630277777777778,61.15508333333333,12.18154185777778,-17.686795938667377,29.868337796445157,27.40138888888889,37.324999930000004
2023-10-18,2023,10,2023-10,32.07783333333333,75.15425,14.066453665833333,-31.2441307919685,45.31058445780184,27.287166666666668,34.135
2023-10-19,2023,10,2023-10,9.445833333333333,17.811416666666663,5.27012426,1.679257707527066,3.590866552472934,31.0075,34.16
2023-10-20,2023,10,2023-10,10.619242424242424,20.100791666666666,5.4179828525,2.0629002774328495,3.3550825750671502,33.12742424242424,33.181608333
2023-10-21,2023,10,2023-10,2.843,18.87433333333333,7.875312311666667,4.190648739990941,3.684663571675726,36.157,34.426999992999995
2023-10-22,2023,10,2023-10,15.036287878787878,43.820166666666665,16.85624915477273,-4.1897843520576,21.04603350683033,28.63537878787879,41.70159090999999
2023-10-23,2023,10,2023-10,14.061666666666667,131.26225,44.60259674833334,-7.078009340698941,51.68060608903228,31.7275,42.090131545000006
2023-10-24,2023,10,2023-10,4.720666666666666,82.87691666666667,27.32584629333333,6.4619860330450996,20.86386026028823,34.779333333333334,32.885764577
2023-10-25,2023,10,2023-10,2.54,51.503875,25.198921441666666,5.5934186905438,19.605502751122867,36.46,51.307165299999994
2023-10-26,2023,10,2023-10,2.5616666666666665,93.494625,50.57598839583334,2.5429064373815002,48.033081958451845,36.43916666666667,43.952017569999995
2023-10-27,2023,10,2023-10,8.5375,115.37683333333332,43.26503453833333,7.0898944491453975,36.175140089187934,34.2425,37.77999997
2023-10-28,2023,10,2023-10,8.404583333333333,88.47508333333333,42.36727343833335,4.495057020737281,37.872216417596064,32.562916666666666,44.1264151
